Weekday_Sensible Weekday_Latent Weekday_Occupancy Weekend_Sensible Weekend_Latent Weekend_Occupancy
0.00055379 0.00087718 1.0 0.00055379 0.00087718 1.0
0.00055477 0.00087744 1.0 0.00055477 0.00087744 1.0
0.00055581 0.00087771 1.0 0.00055581 0.00087771 1.0
0.00055692 0.00087799 1.0 0.00055692 0.00087799 1.0
0.0005581 0.00087829 1.0 0.0005581 0.00087829 1.0
0.00055934 0.00087861 1.0 0.00055934 0.00087861 1.0
0.00056065 0.00087895 1.0 0.00056065 0.00087895 1.0
0.00056202 0.0008793 1.0 0.00056202 0.0008793 1.0
0.00056347 0.00087967 1.0 0.00056347 0.00087967 1.0
0.00056497 0.00088005 1.0 0.00056497 0.00088005 1.0
0.00056655 0.00088045 1.0 0.00056655 0.00088045 1.0
0.00056819 0.00088086 1.0 0.00056819 0.00088086 1.0
0.0005699 0.0008813 1.0 0.0005699 0.0008813 1.0
0.00057167 0.00088174 1.0 0.00057167 0.00088174 1.0
0.00057351 0.00088221 1.0 0.00057351 0.00088221 1.0
0.00057542 0.00088269 1.0 0.00057542 0.00088269 1.0
0.0005774 0.00088318 1.0 0.0005774 0.00088318 1.0
0.00057944 0.0008837 1.0 0.00057944 0.0008837 1.0
0.00058154 0.00088422 1.0 0.00058154 0.00088422 1.0
0.00058372 0.00088477 1.0 0.00058372 0.00088477 1.0
0.00058596 0.00088533 1.0 0.00058596 0.00088533 1.0
0.00058826 0.00088591 1.0 0.00058826 0.00088591 1.0
0.00059064 0.0008865 1.0 0.00059064 0.0008865 1.0
0.00058908 0.00088384 1.0 0.00058895 0.00088384 1.0
0.00058947 0.00088366 1.0 0.00058931 0.00088366 1.0
0.00058995 0.00088352 1.0 0.00058979 0.00088352 1.0
0.00059055 0.00088343 1.0 0.00059037 0.00088343 1.0
0.00059124 0.0008834 1.0 0.00059105 0.0008834 1.0
0.00059205 0.00088342 1.0 0.00059184 0.00088342 1.0
0.00059295 0.00088349 1.0 0.00059274 0.00088349 1.0
0.00059397 0.00088361 1.0 0.00059375 0.00088361 1.0
0.00059508 0.00088378 1.0 0.00059486 0.00088378 1.0
0.00059631 0.000884 1.0 0.00059607 0.000884 1.0
0.00059763 0.00088427 1.0 0.0005974 0.00088427 1.0
0.00059906 0.0008846 1.0 0.00059882 0.0008846 1.0
0.0006006 0.00088497 1.0 0.00060036 0.00088497 1.0
0.00060224 0.0008854 1.0 0.000602 0.0008854 1.0
0.00060399 0.00088588 1.0 0.00060375 0.00088588 1.0
0.00060584 0.00088641 1.0 0.0006056 0.00088641 1.0
0.00060779 0.00088699 1.0 0.00060756 0.00088699 1.0
0.00060986 0.00088762 1.0 0.00060963 0.00088762 1.0
0.00061202 0.00088831 1.0 0.0006118 0.00088831 1.0
0.00061429 0.00088904 1.0 0.00061408 0.00088904 1.0
0.00061667 0.00088983 1.0 0.00061646 0.00088983 1.0
0.00061915 0.00089067 1.0 0.00061895 0.00089067 1.0
0.00062173 0.00089155 1.0 0.00062155 0.00089155 1.0
0.00062442 0.00089249 1.0 0.00062426 0.00089249 1.0
0.00062722 0.00089349 1.0 0.00062706 0.00089349 1.0
0.00063012 0.00089453 1.0 0.00062998 0.00089453 1.0
0.00063312 0.00089562 1.0 0.000633 0.00089562 1.0
0.00063623 0.00089677 1.0 0.00063613 0.00089677 1.0
0.00063945 0.00089796 1.0 0.00063936 0.00089796 1.0
0.00064277 0.00089921 1.0 0.00064271 0.00089921 1.0
0.00064619 0.00090051 1.0 0.00064615 0.00090051 1.0
0.00064972 0.00090186 1.0 0.00064971 0.00090186 1.0
0.00065335 0.00090326 1.0 0.00065336 0.00090326 1.0
0.00065709 0.00090472 1.0 0.00065713 0.00090472 1.0
0.00066094 0.00090622 1.0 0.000661 0.00090622 1.0
0.00066488 0.00090778 1.0 0.00066498 0.00090778 1.0
0.00066894 0.00090938 1.0 0.00066906 0.00090938 1.0
0.0006731 0.00091104 1.0 0.00067325 0.00091104 1.0
0.00067736 0.00091275 1.0 0.00067755 0.00091275 1.0
0.00068173 0.00091451 1.0 0.00068195 0.00091451 1.0
0.0006862 0.00091633 1.0 0.00068646 0.00091633 1.0
0.00069078 0.00091819 1.0 0.00069107 0.00091819 1.0
0.00069546 0.0009201 1.0 0.0006958 0.0009201 1.0
0.00070025 0.00092207 1.0 0.00070062 0.00092207 1.0
0.00070514 0.00092409 1.0 0.00070556 0.00092409 1.0
0.00071014 0.00092615 1.0 0.0007106 0.00092615 1.0
0.00071524 0.00092827 1.0 0.00071574 0.00092827 1.0
0.00072045 0.00093045 1.0 0.00072099 0.00093045 1.0
0.00072576 0.00093267 1.0 0.00072635 0.00093267 1.0
0.00073118 0.00093494 1.0 0.00073182 0.00093494 1.0
0.00075102 0.0009343 1.0 0.00075247 0.0009343 1.0
0.00075567 0.00093519 1.0 0.00075722 0.00093519 1.0
0.0007603 0.00093615 1.0 0.00076194 0.00093615 1.0
0.00076489 0.00093717 1.0 0.00076662 0.00093717 1.0
0.00076944 0.00093826 1.0 0.00077126 0.00093826 1.0
0.00077397 0.00093943 1.0 0.00077586 0.00093943 1.0
0.00077846 0.00094066 1.0 0.00078042 0.00094066 1.0
0.00078292 0.00094196 1.0 0.00078495 0.00094196 1.0
0.00078734 0.00094333 1.0 0.00078944 0.00094333 1.0
0.00079174 0.00094476 1.0 0.00079388 0.00094476 1.0
0.0007961 0.00094627 1.0 0.00079829 0.00094627 1.0
0.00080043 0.00094784 1.0 0.00080266 0.00094784 1.0
0.00080472 0.00094948 1.0 0.00080699 0.00094948 1.0
